"","index","online_dvsa_end","online_dvsa_1_end","online_dvsa_2_end","online_dvsa_3_end","online_dvsa_4_end","online_dvsa_5_end"
"670","1736","First:,Second:","الانستجرام","بعض الجروبات علي الفيس زي حد يعرف",NA,NA,NA
"671","1737","First:","الفيس بوك فقد تواجه بعض الفتيات تهديدات وابتزاز عن طريق الفيس او تويتر",NA,NA,NA,NA
"672","1738","First:,Second:,Third:","فيديوهات لدكتورة نهاد عن العنف ضد المراه","فيديوهات عن التحرش وازاي تدافع عن نفسها لدكتور نهاد","متابعه دكتور نهاد علي فيسبوك و تويتر واليوتيوب",NA,NA
"673","1739","First:,Second:,Third:","الفيس","اليوتيوب","السوشيال ميديا عامه",NA,NA
"674","1749","First:,Second:,Third:,Fourth:,Fifth:","رأي الدين","حكايات نهاد","برامج التواصل الاجتماعي","برامج اسريه","التواصل مع الشيخ مبروك عطيه"
"675","1751","First:,Second:,Third:,Fourth:,Fifth:","الفيسبوك","اليوتيوب","التويتر","الانستجرام","جوجل"
"676","1752","First:,Second:","الخط الساخن لدعم المراة","صفحة fb دكتور نهاد ابو القمصان",NA,NA,NA
"677","1753","First:,Second:,Third:","الفيس بوك","تويتى","صديق موثوق فيه",NA,NA
"678","1754","First:,Second:","المركز القومي للمرأة","محكمة الأسرة",NA,NA,NA
"679","1764","First:,Second:,Third:","جروبات للفتيات","جهه دعم المرأه","التحدث مع الاهل",NA,NA
"680","1767","First:,Second:,Third:,Fourth:,Fifth:","النسوية","برنامج ناهد","الافوكادو","استشارات قانونيه","منظمة الانوروا"
"681","1769","First:,Second:,Third:","المجلس القومي للمرأة","منظمه حقوق الانسان","جمعيات بدون ذك9اسماءهم",NA,NA
"682","1775","First:,Second:,Third:","فيسبوك","واتساب","بعض المواقع المخصصة لذلك",NA,NA
"683","1776","First:","Facebook",NA,NA,NA,NA
"684","1780","First:,Second:,Third:,Fourth:,Fifth:","جروبات","قنوات يوتيوب","برنامج نهاد","دعاء فاروق","لمياء فهمي"
"685","1781","First:,Second:,Third:","برامج تليفزيونية","الانترنت","المجلس القومى للمرأة",NA,NA
"686","1785","First:","مجلس حقوق المرأة",NA,NA,NA,NA
"687","1786","First:,Second:,Third:,Fourth:,Fifth:","التليفزيون","الفيس بوك","الاخبار","رسائل الواتس","الهاتف"
"688","1791","First:,Second:,Third:","فيس بوك","الوتس.","جروبات علي النت",NA,NA
"689","1798","First:,Second:","المجلس القومى لحقوق المرأة","احنا معك وزارة الداخلية",NA,NA,NA
"690","1799","First:,Second:,Third:,Fourth:,Fifth:","برنامج حكايات نهاد","برنامج بكره احلى","برنامج بين قوسين","قناه على يوتيوب اسمها خطيرة","قناة على اليوتيوب اسمها البوابة"
"691","1801","First:","الخط الساخن",NA,NA,NA,NA
"692","1808","First:,Second:,Third:","صفحة العنف ضد المرأة","جمعية حقوق المرأة","دعم المرأة",NA,NA
"693","1810","First:,Second:,Third:","ويكيبيديا","موضوع","Mayo clinic",NA,NA
"694","1814","First:,Second:","محكمة الاسرة","حقوق الانسان",NA,NA,NA
"695","1819","First:,Second:,Third:,Fourth:","حكايات نهاد","هى وبس","ست الستات","السفيره عزيزه",NA
"696","1822","First:,Second:,Third:,Fourth:,Fifth:","مواقع التواصل الاجتماعي فيس بوك","انستجرام","واتس اب","قنوات اليوتيوب","برنامج حكايات نهاد"
"697","1828","First:,Second:,Third:","حقوق المرأة","حقوق الإنسان","المركز القومي لدعم المرأة",NA,NA
"698","1829","First:","الانترنت",NA,NA,NA,NA
"699","1830","First:,I do not know any.","حقوق المراه",NA,NA,NA,NA
"700","1832","First:,Second:,Third:,Fourth:","مواقع ع اليوتيوب","الفيس","الواتس","الانستا",NA
"701","1833","First:,Second:","الفيس بوك","يوتيوب",NA,NA,NA
"702","1838","First:,Second:","Unfa","اليونسيف",NA,NA,NA
"703","1845","First:,Second:","الانترنت","المجلس القومي للمرأة",NA,NA,NA
"704","1850","First:,Second:,Third:,Fourth:","المركز المصري لحقوق المرأة","جمعية نهوض وتنمية  المرأة","مؤسسة قضايا المرأة","جمعية حقوق المرأة",NA
"705","1851","First:,Second:,Third:","الفيس بوك","الواتساب","جروبات دعم المرأه",NA,NA
"706","1853","First:,Second:,Third:","جروب زوجة مطحونة وطالع عينها","جروبات السيدات علي الفيس بوك","الاخبار اللي في صورة فيديوهات قصيرة علي تطبيق الفيس",NA,NA
"707","1856","First:,Second:,Third:","برنامج حكايه نهاد","محو الاميه الزوجيه","د.هاله سمير",NA,NA
"708","1857","First:,Second:","المجلس القومى للمراة","حقوق الانسان",NA,NA,NA
"709","1858","First:,Second:","واتس دعم المرأه","الفيس بوك",NA,NA,NA
"710","1860","First:,Second:,I do not know any.","دعم المرأه","جمعيه حقوق الانسان",NA,NA,NA
"711","1861","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","يوتيوب","تليجرام","تويتر","واتساب"
"712","1863","First:,Second:,Third:,Fourth:,Fifth:","فيس","تويتر","يوتيوب","انستجرام","واتس"
"713","1864","First:","المركز المصري لحقوق المرأه",NA,NA,NA,NA
"714","1865","First:,Second:","تمكين المرأة","وزارة شئون المرأة",NA,NA,NA
"715","1874","First:,Second:,Third:,Fourth:,Fifth:","العنف ضد المراه","انت مش لوحدك","قانون الاسره المصريه","امهات مصر المعيلات","قضايا وحلول الاسره"
"716","1879","First:,Second:,Third:","انت مش لوحدك","دعم المرأة","المجلس القومي لحقوق المرأة",NA,NA
"717","1881","First:,Second:","المجلس القومى للمرأة","دكتور نفسي",NA,NA,NA
"718","1889","First:,Second:","جروب انتى مش لوحدك عبر واتساب","صفحه المجلس القومي لحقوق المرأة",NA,NA,NA
"719","1890","First:,Second:,Third:","الجديد","الان","New",NA,NA
"720","1891","First:","المركز القومي للمرأة",NA,NA,NA,NA
"721","1895","First:,Second:,Third:","واتساب","فيسبوك","انستجرام",NA,NA
"722","1902","First:,Second:,Third:,I do not know any.","واتساب دعم المراة","جروبات نسائيةواتساب","جروب نسائى على الفيس بوك اسمه سكر بنات",NA,NA
"723","1903","First:,Second:,Third:,Fourth:","لمجلس القومي للمرأة","أمانات المرأة بالاحزاب","مءؤلي المرأة بالمحافظة","الأزهر",NA
"724","1904","First:,Second:,Third:","مش لوحدك","حقوق المرأة","جروبات للمرأة",NA,NA
"725","1906","First:","لجنه فض المنازعات",NA,NA,NA,NA
"726","1907","First:,Second:,Third:,Fourth:,Fifth:","ع واتساب","ع فيس بوك","ع اليوتيوب","ع اليوتبر","ع مواقع خاصة بالتحرش"
"727","1908","First:,Second:,Third:","واتس","فيس بوك","جوجل",NA,NA
"728","1911","First:,Second:","Twitter","Facebook",NA,NA,NA
"729","1912","First:,Second:","واتس اب","فيس بوك",NA,NA,NA
"730","1913","First:,Second:,Third:","التليفزيون","الفيس بوك","اخبار جوجل",NA,NA
"731","1914","First:,Second:,Third:,Fourth:","النت","الفيس","الانستا","التلىجرام",NA
"732","1919","First:","المركز المصرى لحقوق المرأة",NA,NA,NA,NA
"733","1921","First:,Second:,Third:,Fourth:","بصي","نظرة","النديم","Cewla",NA
"734","1927","First:,Second:","دعم المرأة","المجلس القومي للمرأة",NA,NA,NA
"735","1931","First:","مش لوحدك",NA,NA,NA,NA
"736","1932","First:,Second:","المركز القومي لحقوق المراة","المجلس القومي لحقوق المراة",NA,NA,NA
"737","1935","First:,Second:","شكاوى المجلس القومى للمراة","جمعية حقوق المراة",NA,NA,NA
"738","1938","First:,Second:","صفحه انتي مش لوحدك","برنامج رضوي الشربيني",NA,NA,NA
"739","1942","First:,Second:,Third:","دعم قضايا المرآة","العنف ضد المرأة","المجلس القومي للمرأة",NA,NA
"740","1944","First:","ح",NA,NA,NA,NA
"741","1948","First:","جروب انتي مش لوحدك واتس",NA,NA,NA,NA
"742","1949","First:,Second:,Third:","اليوتيوب","المصري اليوم","جمعيه حقوق الإنسان",NA,NA
"743","1951","First:,Second:","الفيس","الواتس",NA,NA,NA
"744","1953","First:,Second:","حكايات نهاد","مواقع اخبار",NA,NA,NA
"745","1954","First:","مرصد الحريات للدفاع عن المراة و الطفل",NA,NA,NA,NA
"746","1959","First:,I do not know any.","المجلس القومي للمرأة",NA,NA,NA,NA
"747","1961","First:","ساعه مع نهاد ... حكايات نهاد",NA,NA,NA,NA
"748","1962","First:","احمى طفلك من التحرش",NA,NA,NA,NA
"749","1964","First:,Second:","جروبات علي الفيس بوك","اشخاص معينة علي الفيس",NA,NA,NA
"750","1967","First:,Second:,I do not know any.","المنتديات","البرامج و القنوات على البوتيوب",NA,NA,NA
"751","1969","First:,Second:,Third:,I do not know any.","حقوق المرأة","مساعدات المرأة","انقاذ المرأة المتضرره",NA,NA
"752","1970","First:,Second:","الفيس بوك","الانستجرام",NA,NA,NA
"753","1973","First:,Second:,Third:","الجروبات النسائية","موقع المجلس القومي للمرأة","الشرطة",NA,NA
"754","1975","First:,Second:,Third:","انت مش لوحدك جروب واتس","مجلس القومى لحقوق المراه","البونسيف",NA,NA
"755","1976","First:","المجلس القومى للمرأة",NA,NA,NA,NA
"756","1977","First:,Second:,Third:,Fourth:,Fifth:","فيس بوك","وتساب","انستجرام","تويتر","يوتيوب"
"757","1978","First:,Second:","فيس بوك","يوتيوب",NA,NA,NA
"758","1981","First:","المجلس القومى للمراه",NA,NA,NA,NA
"759","1983","First:,Second:,Third:,Fourth:,Fifth:","المجلس القومي للمرآة","الجمعية المصريه ولتوعيه والصحة","مركز استضافة وتوجيه المراه","مركز النديم","بيت حواء جمعيه نهوض"
"760","1984","First:,Second:","فيس بوك","انستجرام",NA,NA,NA
"761","1986","First:,Second:,Third:","المجلس القومي للمرأة","المجلس القومي للامومة و الطفولة","منظمة حقوق الانسان",NA,NA
"762","1990","First:,Second:,Third:,Fourth:,Fifth:","السلطات المختصة","الفيس بوك","واتساب","انستجرام","توتير"
"763","1992","First:,Second:","دعم المرأة","الشرطة",NA,NA,NA
"764","1999","First:,Second:","دعم المرأة","انتى مش لوحدك",NA,NA,NA
"765","2001","First:,I do not know any.","تمكين المرأة",NA,NA,NA,NA
"766","2003","First:,Second:,Third:,Fourth:","التكلم مع الاهل","إبلاغ السلطات","إمكانيه التواصل مع المجلس القومى للمراة","البحث على النت على الجروبات التى تناقش تلك المساله",NA
"767","2008","First:,Second:,Third:","جمعيه حقوق المرأه","جمعيه ضد التحرش","امسك متحرش",NA,NA
"768","2010","First:,Second:,Third:,Fourth:,Fifth:","السلطات","مجلس حقوق المرأه","رئاسه الوزراء","برامج المراه","السوشيال ميديا"
"769","2011","First:,Second:,I do not know any.","انتي مش لوحدك","هي و بس",NA,NA,NA
"770","2012","First:,Second:,Third:","الفيس","واتساب","يوتيوب",NA,NA
"771","2016","First:,Second:,Third:,Fourth:","صفحات الفيس بوك","فديوهات على اليوتيوب","علي جوجل","تويتر",NA
"772","2018","First:,Second:","المجلس القومي للمرأة","مباحث الانترنت",NA,NA,NA
